origin_value,company name,traded price,book value,price book ratio,PE ratio,Current ratio,Profit Margin,Return on Assets,Return on Equity,5 year average yield,Forward Annual Dividend Yield,Trailing Annual Dividend Yield,52-Week High,52-Week Low,beta,exchange,sector,industry,total_equity_5,total_equity_4,total_equity_3,total_equity_2,total_equity_1,total_liability_5,total_liability_4,total_liability_3,total_liability_2,total_liability_1,total_asset_5,total_asset_4,total_asset_3,total_asset_2,total_asset_1,balance sheet page,industry page,statistics page,origin_url,origin_pattern,createdAt,updatedAt,pingedAt
S61.SI,SBS Transit Ltd (S61.SI),1.80,0.74,2.45,52.94,0.19,1.50,1.17,4.37,,,1.30,1.97,1.22,,SES,Services,Railroads,,,,,,"870,000","682,000","588,000","416,000",,"1,180,000","1,027,000","930,000","749,000",,https://sg.finance.yahoo.com/q/bs?s=S61.SI&annual,https://sg.finance.yahoo.com/q/pr?s=S61.SI,https://sg.finance.yahoo.com/q/ks?s=S61.SI,https://sg.finance.yahoo.com/q?s=S61.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
NF1.SI,Sapphire Corp Ltd (NF1.SI),0.09,0.07,1.39,N/A,2.37,0.24,0.32,7.08,,,,0.14,0.07,,SES,Basic Materials,Industrial Metals & Minerals,,,,,,"50,000","232,000","258,000","172,000",,"122,000","306,000","483,000","440,000",,https://sg.finance.yahoo.com/q/bs?s=NF1.SI&annual,https://sg.finance.yahoo.com/q/pr?s=NF1.SI,https://sg.finance.yahoo.com/q/ks?s=NF1.SI,https://sg.finance.yahoo.com/q?s=NF1.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
S46.SI,San Teh Ltd (S46.SI),0.28,0.47,0.58,N/A,1.87,9.37,1.52,1.71,,,2.90,0.32,0.24,,SES,Industrial Goods,General Building Materials,,,,,,,,,,,,,,,,https://sg.finance.yahoo.com/q/bs?s=S46.SI&annual,https://sg.finance.yahoo.com/q/pr?s=S46.SI,https://sg.finance.yahoo.com/q/ks?s=S46.SI,https://sg.finance.yahoo.com/q?s=S46.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
E6R.SI,Samko Timber Ltd (E6R.SI),0.11,0.03,3.64,N/A,1.34,0.15,3.27,0.43,,,,0.14,0.08,,SES,Industrial Goods,"Lumber, Wood Production",,,,,,"1,428,088,000","1,062,080,000","976,523,000","780,916,000",,"2,041,589,000","1,702,751,000","1,568,631,000","1,294,364,000",,https://sg.finance.yahoo.com/q/bs?s=E6R.SI&annual,https://sg.finance.yahoo.com/q/pr?s=E6R.SI,https://sg.finance.yahoo.com/q/ks?s=E6R.SI,https://sg.finance.yahoo.com/q?s=E6R.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
T8JU.SI,Saizen Real Estate Investment Trust (T8JU.SI),0.87,0.84,1.04,13.38,2.73,56.54,2.91,8.04,,,7.10,0.98,0.84,,SES,Financial,REIT - Residential,,,,,,"19,043,000","19,735,000","14,740,000","11,761,000",,"47,304,000","47,295,000","41,972,000","36,514,000",,https://sg.finance.yahoo.com/q/bs?s=T8JU.SI&annual,https://sg.finance.yahoo.com/q/pr?s=T8JU.SI,https://sg.finance.yahoo.com/q/ks?s=T8JU.SI,https://sg.finance.yahoo.com/q?s=T8JU.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
J8O.SI,Ryobi Kiso Holdings Ltd (J8O.SI),0.11,0.10,1.08,N/A,1.18,2.27,1.14,4.96,,,2.70,0.13,0.09,,SES,Industrial Goods,General Contractors,,,,,,"121,000","105,000","91,000","80,000",,"228,000","222,000","209,000","199,000",,https://sg.finance.yahoo.com/q/bs?s=J8O.SI&annual,https://sg.finance.yahoo.com/q/pr?s=J8O.SI,https://sg.finance.yahoo.com/q/ks?s=J8O.SI,https://sg.finance.yahoo.com/q?s=J8O.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
A50.SI,Rowsley Ltd (A50.SI),0.19,0.09,2.18,31.83,4.72,53.77,0.01,10.26,,,,0.31,0.15,,SES,Financial,Asset Management,,,,,,"108,000","1,000","1,000","18,000",,"610,000","36,000","34,000","53,000",,https://sg.finance.yahoo.com/q/bs?s=A50.SI&annual,https://sg.finance.yahoo.com/q/pr?s=A50.SI,https://sg.finance.yahoo.com/q/ks?s=A50.SI,https://sg.finance.yahoo.com/q?s=A50.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
R07.SI,Rotary Engineering Ltd (R07.SI),0.55,0.33,1.65,8.46,1.15,7.28,6.39,36.14,,,2.70,0.84,0.49,,SES,Industrial Goods,General Contractors,,,,,,"330,000","371,000","345,000","390,000",,"459,000","470,000","455,000","700,000",,https://sg.finance.yahoo.com/q/bs?s=R07.SI&annual,https://sg.finance.yahoo.com/q/pr?s=R07.SI,https://sg.finance.yahoo.com/q/ks?s=R07.SI,https://sg.finance.yahoo.com/q?s=R07.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
5WH.SI,$ Rex Intl (5WH.SI),0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sg.finance.yahoo.com/q?s=5WH.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
T13.SI,RH Petrogas Ltd (T13.SI),0.37,0.20,1.81,N/A,0.73,37.50,1.72,17.20,,,,0.98,0.28,,SES,Basic Materials,Independent Oil & Gas,,,,,,"123,000","157,000","138,000","184,000",,"275,000","335,000","319,000","294,000",,https://sg.finance.yahoo.com/q/bs?s=T13.SI&annual,https://sg.finance.yahoo.com/q/pr?s=T13.SI,https://sg.finance.yahoo.com/q/ks?s=T13.SI,https://sg.finance.yahoo.com/q?s=T13.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
5DW.SI,Renewable Energy Asia Group Ltd (5DW.SI),0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sg.finance.yahoo.com/q?s=5DW.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
PU7D.SI,u RDS/A ADR US$ (PU7D.SI),0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sg.finance.yahoo.com/q?s=PU7D.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
K22.SI,Raffles United Holdings Ltd (K22.SI),0.20,0.24,0.81,196.00,2.00,0.53,0.15,0.54,,,,0.24,0.18,,SES,Services,Industrial Equipment Wholesale,,,,,,"74,000","61,000","70,000","66,000",,"151,000","138,000","145,000","143,000",,https://sg.finance.yahoo.com/q/bs?s=K22.SI&annual,https://sg.finance.yahoo.com/q/pr?s=K22.SI,https://sg.finance.yahoo.com/q/ks?s=K22.SI,https://sg.finance.yahoo.com/q?s=K22.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
R14.SI,Ramba Energy Ltd (R14.SI),0.31,0.13,2.33,N/A,0.76,15.94,6.31,19.86,,,,0.60,0.26,,SES,Basic Materials,Independent Oil & Gas,,,,,,"49,000","48,000","41,000","31,000",,"115,000","107,000","92,000","90,000",,https://sg.finance.yahoo.com/q/bs?s=R14.SI&annual,https://sg.finance.yahoo.com/q/pr?s=R14.SI,https://sg.finance.yahoo.com/q/ks?s=R14.SI,https://sg.finance.yahoo.com/q?s=R14.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
KT9.SI,QingMei Group Holdings Ltd (KT9.SI),0.01,0.15,0.08,N/A,2.66,84.57,13.19,38.98,,,,0.03,0.01,,SES,Consumer Goods,"Recreational Goods, Other",,,,,,"92,000","67,000","66,000","234,000",,"817,000","1,057,000","1,167,000","1,258,000",,https://sg.finance.yahoo.com/q/bs?s=KT9.SI&annual,https://sg.finance.yahoo.com/q/pr?s=KT9.SI,https://sg.finance.yahoo.com/q/ks?s=KT9.SI,https://sg.finance.yahoo.com/q?s=KT9.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
P58.SI,Lyxor ChinaH US$ (P58.SI),19.76,0.00,N/A,N/A,N/A,,,,,,,20.41,12.80,,SES,N/A,N/A,,,,,,,,,,,,,,,,,https://sg.finance.yahoo.com/q/pr?s=P58.SI,https://sg.finance.yahoo.com/q/ks?s=P58.SI,https://sg.finance.yahoo.com/q?s=P58.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
E8Z.SI,Roxy-Pacific Holdings Ltd (E8Z.SI),0.54,0.25,2.16,6.60,1.46,30.41,3.56,26.50,,,3.60,0.60,0.50,,SES,Financial,Real Estate Development,,,,,,"1,032,000","969,000","670,000","534,000",,"1,433,000","1,299,000","924,000","749,000",,https://sg.finance.yahoo.com/q/bs?s=E8Z.SI&annual,https://sg.finance.yahoo.com/q/pr?s=E8Z.SI,https://sg.finance.yahoo.com/q/ks?s=E8Z.SI,https://sg.finance.yahoo.com/q?s=E8Z.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
AP4.SI,Riverstone Holdings Ltd (AP4.SI),1.17,0.27,4.26,22.50,3.74,17.77,11.98,20.44,,,5.90,1.23,0.84,,SES,Consumer Goods,Rubber & Plastics,,,,,,"69,000","58,000","62,000","44,000",,"441,000","381,000","317,000","268,000",,https://sg.finance.yahoo.com/q/bs?s=AP4.SI&annual,https://sg.finance.yahoo.com/q/pr?s=AP4.SI,https://sg.finance.yahoo.com/q/ks?s=AP4.SI,https://sg.finance.yahoo.com/q?s=AP4.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
5MM.SI,Resources Prima Group Ltd (5MM.SI),0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sg.finance.yahoo.com/q?s=5MM.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
B1ZU.SI,Rickmers Maritime (B1ZU.SI),0.28,0.59,0.48,N/A,1.09,11.63,3.68,3.13,,,6.30,0.31,0.28,,SES,Services,Shipping,,,,,,"453,000","526,000","677,000","753,000",,"951,000","1,049,000","1,100,000","1,140,000",,https://sg.finance.yahoo.com/q/bs?s=B1ZU.SI&annual,https://sg.finance.yahoo.com/q/pr?s=B1ZU.SI,https://sg.finance.yahoo.com/q/ks?s=B1ZU.SI,https://sg.finance.yahoo.com/q?s=B1ZU.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
UV1.SI,Regal International Group Ltd (UV1.SI),0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sg.finance.yahoo.com/q?s=UV1.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
RF1U.SI,Religare Health Trust (RF1U.SI),1.06,0.64,1.68,29.44,0.54,30.94,4.44,5.80,,,7.30,1.14,0.85,,SES,N/A,N/A,,,,,,"253,000","248,000","25,000",,,"958,000","963,000","131,000",,,https://sg.finance.yahoo.com/q/bs?s=RF1U.SI&annual,https://sg.finance.yahoo.com/q/pr?s=RF1U.SI,https://sg.finance.yahoo.com/q/ks?s=RF1U.SI,https://sg.finance.yahoo.com/q?s=RF1U.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
R01.SI,Raffles Medical Group Ltd (R01.SI),4.00,0.71,5.71,45.45,1.87,18.05,7.87,13.40,,,1.40,4.11,3.46,,SES,Healthcare,Hospitals,,,,,,"115,000","100,000","105,000","94,000",,"655,000","573,000","495,000","429,000",,https://sg.finance.yahoo.com/q/bs?s=R01.SI&annual,https://sg.finance.yahoo.com/q/pr?s=R01.SI,https://sg.finance.yahoo.com/q/ks?s=R01.SI,https://sg.finance.yahoo.com/q?s=R01.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
5I0.SI,$ QT Vascular (5I0.SI),0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sg.finance.yahoo.com/q?s=5I0.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
NR7.SI,Raffles Education Corporation Limited (NR7.SI),0.32,0.42,0.76,8.21,1.16,42.34,0.44,9.46,,,3.10,0.40,0.28,,SES,N/A,N/A,,,,,,"520,000","465,000","629,000","529,000",,"1,123,000","1,068,000","1,170,000","1,136,000",,https://sg.finance.yahoo.com/q/bs?s=NR7.SI&annual,https://sg.finance.yahoo.com/q/pr?s=NR7.SI,https://sg.finance.yahoo.com/q/ks?s=NR7.SI,https://sg.finance.yahoo.com/q?s=NR7.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
NF6.SI,Lyxor AsiaCS US$ (NF6.SI),59.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sg.finance.yahoo.com/q?s=NF6.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
552.SI,Qian Hu Corp Ltd (552.SI),0.08,0.08,1.01,82.00,2.34,0.47,1.10,1.33,,,1.20,0.09,0.07,,SES,Consumer Goods,Farm Products,,,,,,"26,000","25,000","24,000","32,000",,"77,000","76,000","78,000","106,000",,https://sg.finance.yahoo.com/q/bs?s=552.SI&annual,https://sg.finance.yahoo.com/q/pr?s=552.SI,https://sg.finance.yahoo.com/q/ks?s=552.SI,https://sg.finance.yahoo.com/q?s=552.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
K3OD.SI,PetroChina Co Ltd (K3OD.SI),128.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://sg.finance.yahoo.com/q?s=K3OD.SI,https://sg.finance.yahoo.com/q?s=@@origin_value@@,2015-05-04 02:08:27,2015-05-04 02:08:27,2015-05-04 02:08:27
